Floating holiday for 9th Muharram on Saturday, 5-Jul-2025 in Bengaluru
Floating holiday for Yom-a-Ashura on Saturday, 5-Jul-2025 in Bengaluru
Floating holiday for Bahuda Yatra on Saturday, 5-Jul-2025 in Bengaluru
Floating holiday for 9th Moharram (1446H) on Saturday, 5-Jul-2025 in Bengaluru
Floating holiday for Last Day of Moharam on Sunday, 6-Jul-2025 in Bengaluru
Floating holiday for Ashoora (Muharram) on Sunday, 6-Jul-2025 in Bengaluru
Floating holiday for Shahadat Imam Hussain (R.A) 10th Moharam on Sunday, 6-Jul-2025 in Bengaluru
Floating holiday for Muharram on Sunday, 6-Jul-2025 in Bengaluru
Floating holiday for Muharram on Monday, 7-Jul-2025 in Bengaluru
Floating holiday for Guru Purnima on Thursday, 10-Jul-2025 in Bengaluru
Floating holiday for Gatha Gahamber (Parsi Kadmi) on Sunday, 13-Jul-2025 in Bengaluru
Floating holiday for Birthday of Poet Bhanu Bhakt on Sunday, 13-Jul-2025 in Bengaluru
Floating holiday for Parsi New Year Day Eve (Gatha-V) (Parshi Kadmi) on Tuesday, 15-Jul-2025 in Bengaluru
Floating holiday for Parsi New Year Day (Parshi Kadmi) on Wednesday, 16-Jul-2025 in Bengaluru
Floating holiday for Bonalu on Monday, 21-Jul-2025 in Bengaluru
Floating holiday for Khordad Sal (Parsi Kadmi) on Monday, 21-Jul-2025 in Bengaluru
Floating holiday for Karkadaka Vavu on Thursday, 24-Jul-2025 in Bengaluru
Floating holiday for Hariyali Teej on Sunday, 27-Jul-2025 in Bengaluru
Floating holiday for Nagpanchami on Tuesday, 29-Jul-2025 in Bengaluru
Floating holiday for Shaheed Udham Singh Martyrdom Day on Thursday, 31-Jul-2025 in Bengaluru
Floating holiday for Goswami Tulsidas Jayanti on Thursday, 31-Jul-2025 in Bengaluru
Floating holiday for Tisha-be-aav (Yahudi) on Sunday, 3-Aug-2025 in Bengaluru
Floating holiday for Varamahalakshmi Vratha on Friday, 8-Aug-2025 in Bengaluru
Floating holiday for Varalakshmi Vratham on Friday, 8-Aug-2025 in Bengaluru
Floating holiday for Yajur Upakarma on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for International Day of the World's Indigenous Peoples on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Sravana Purnima on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Rakhi Purnima on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Jhulana Purnima on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for World Tribal Day on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Raksha Bandhan on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Rug-Upakarma on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Avani Avittom on Saturday, 9-Aug-2025 in Bengaluru
Floating holiday for Gatha Gahamber (Gatha-III) (Parsi Shahenshahi) on Tuesday, 12-Aug-2025 in Bengaluru
Floating holiday for Durgadas Rathore Jayanti on Wednesday, 13-Aug-2025 in Bengaluru
Floating holiday for Parsi New Year Day Eve (Gatha-V) (Parshi Shahenshahi) on Thursday, 14-Aug-2025 in Bengaluru
Floating holiday for Chehlum on Thursday, 14-Aug-2025 in Bengaluru
Floating holiday for Balram Jayanti on Thursday, 14-Aug-2025 in Bengaluru
Mandatory holiday for Parsi New Year Day- Pateti (Parsi Shahenshahi) on Friday, 15-Aug-2025 in Bengaluru
Mandatory holiday for Independence Day on Friday, 15-Aug-2025 in Bengaluru
Mandatory holiday for Arbayeen on Friday, 15-Aug-2025 in Bengaluru
Mandatory holiday for Thadadi on Friday, 15-Aug-2025 in Bengaluru
Floating holiday for Janmashtami (Shravan Vad-8) on Saturday, 16-Aug-2025 in Bengaluru
Floating holiday for Krishna Jayanthi on Saturday, 16-Aug-2025 in Bengaluru
Floating holiday for Janmashtami on Saturday, 16-Aug-2025 in Bengaluru
Floating holiday for Sri Krishna Astami (as per Srivaishnava Agamam) on Saturday, 16-Aug-2025 in Bengaluru
Floating holiday for Shri Krishna Janmashtami on Saturday, 16-Aug-2025 in Bengaluru
Floating holiday for Nand Utsav on Sunday, 17-Aug-2025 in Bengaluru
Floating holiday for Khordad Sal (Parsi Shahenshahi) on Wednesday, 20-Aug-2025 in Bengaluru
Floating holiday for Shravan Vad-12 (Paryusan 1st Day) (Chaturthi Paksha) on Wednesday, 20-Aug-2025 in Bengaluru
Floating holiday for Shravan Vad-13 (Paryusan 1st Day) (Panchami Paksha) on Thursday, 21-Aug-2025 in Bengaluru
Floating holiday for Shahadat-e-Imam Husan on Saturday, 23-Aug-2025 in Bengaluru
Floating holiday for Mahavir Swami Janma Vachan (Chaturthi Paksha) on Sunday, 24-Aug-2025 in Bengaluru
Floating holiday for Swarna Gowri Vrata on Tuesday, 26-Aug-2025 in Bengaluru
Mandatory holiday for Varasidhi Vinayaka Vrata on Wednesday, 27-Aug-2025 in Bengaluru
Mandatory holiday for Ganesh Chaturthi on Wednesday, 27-Aug-2025 in Bengaluru
Floating holiday for Samvatsari (Panchami Paksha) on Thursday, 28-Aug-2025 in Bengaluru
Floating holiday for Ayyankali Jayanthi on Thursday, 28-Aug-2025 in Bengaluru
Floating holiday for Nuakhai on Thursday, 28-Aug-2025 in Bengaluru
Floating holiday for Samwatsari on Thursday, 28-Aug-2025 in Bengaluru
Floating holiday for Navakhai on Saturday, 30-Aug-2025 in Bengaluru
Floating holiday for Teja ji Maharaj ka Nirman Divas on Tuesday, 2-Sep-2025 in Bengaluru
Floating holiday for Ramdev Jayanti, Teja Dashmi & Khejarli Shahid Day on Tuesday, 2-Sep-2025 in Bengaluru
Floating holiday for Dol Gyaras on Wednesday, 3-Sep-2025 in Bengaluru
Floating holiday for Kail Muhuruth on Wednesday, 3-Sep-2025 in Bengaluru
Floating holiday for First Onam on Thursday, 4-Sep-2025 in Bengaluru
Floating holiday for Eid Miladun Nabi on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Milad-Ul-Nabi on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Onam Festival on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Id-E-Milad on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Fateha-Dwaz-Daham on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Eid-e-Meeladunnabi (Prophet Mohammad's Birthday) (Bara Vafat) on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Birthday of Prophet Muhammad on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Barawfath on Friday, 5-Sep-2025 in Bengaluru
Floating holiday for Third Onam on Saturday, 6-Sep-2025 in Bengaluru
Floating holiday for Anant Chaturdashi on Saturday, 6-Sep-2025 in Bengaluru
Floating holiday for Ananta Padmanabha Vrata on Saturday, 6-Sep-2025 in Bengaluru
Floating holiday for Sree Narayana Guru Jayanthi on Sunday, 7-Sep-2025 in Bengaluru
Floating holiday for Brahma Shri Naryana Guru Jayanti on Sunday, 7-Sep-2025 in Bengaluru
Floating holiday for Fourth Onam on Sunday, 7-Sep-2025 in Bengaluru
Floating holiday for Kanya Mariyamma Jayanti on Monday, 8-Sep-2025 in Bengaluru
Floating holiday for Id-e-Maulud on Wednesday, 10-Sep-2025 in Bengaluru
Floating holiday for Sreekrishna Jayanthi on Sunday, 14-Sep-2025 in Bengaluru
Floating holiday for Vishwakarma Day on Wednesday, 17-Sep-2025 in Bengaluru
Floating holiday for Vishwakarma Puja on Wednesday, 17-Sep-2025 in Bengaluru
Floating holiday for Vishwakarma Jayanthi on Wednesday, 17-Sep-2025 in Bengaluru
Floating holiday for Raja Shanker Shah tatha Ragunath Shah ka Balidan Diwas on Thursday, 18-Sep-2025 in Bengaluru
Floating holiday for Pran Nath Jayanti on Saturday, 20-Sep-2025 in Bengaluru
Floating holiday for Mahalaya on Sunday, 21-Sep-2025 in Bengaluru
Floating holiday for Bathukamma Starting Day on Sunday, 21-Sep-2025 in Bengaluru
Floating holiday for Sarvpitra Moksha Amawashya on Sunday, 21-Sep-2025 in Bengaluru
Floating holiday for Sree Narayana Guru Samadhi on Sunday, 21-Sep-2025 in Bengaluru
Floating holiday for Mahalaya Amavasye on Sunday, 21-Sep-2025 in Bengaluru
Floating holiday for Navratra Sthapana & Maharaja Agrasen Jayanti on Monday, 22-Sep-2025 in Bengaluru
Floating holiday for Maharaja Agrasen Jayanti on Monday, 22-Sep-2025 in Bengaluru
Floating holiday for Haryana War Heroes Martyrdom Day on Tuesday, 23-Sep-2025 in Bengaluru
Floating holiday for Rosh Hashanah (1st Day) (New Year) (Yahudi) on Tuesday, 23-Sep-2025 in Bengaluru
Floating holiday for Shadeedi Divas on Tuesday, 23-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Chaturthi) on Friday, 26-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Panchami) on Saturday, 27-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Shashtmi) on Sunday, 28-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Saptami) on Monday, 29-Sep-2025 in Bengaluru
Floating holiday for Mahasaptami on Monday, 29-Sep-2025 in Bengaluru
Floating holiday for Mahastami on Tuesday, 30-Sep-2025 in Bengaluru
Floating holiday for Dussera (Maha Astami) on Tuesday, 30-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Astami) on Tuesday, 30-Sep-2025 in Bengaluru
Floating holiday for Durgashtami on Tuesday, 30-Sep-2025 in Bengaluru
Floating holiday for Durga Puja (Maha Nabami) on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Dussehra (Maha Navami) on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Maharnavami on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Mahanavami on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Ayudhapooja on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Vijayadasami on Wednesday, 1-Oct-2025 in Bengaluru
Floating holiday for Eve of Kippur (Yahudi) on Wednesday, 1-Oct-2025 in Bengaluru
